Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28,Character 29,Character 30
Page 1,Capa,Mônica,Marina,Cebolinha,Cascão,Xaveco,Nimbus,Do Contra,Humberto,Jeremias,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,Denise,Mônica,Carminha Frufru,Denise,Magali,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,1,Marina,Mônica,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,1,Marina,Mônica,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,1,Mônica,Magali,Sombra 1 - gibi 7,Sombra 2 - gibi 7,Sombra 3 - gibi 7,Sombra 4 - gibi 7,,,,,,,,,,,,,,,,,,,,,,,,
Page 7,1,Marina,Mônica,Magali,Sombra 5 - gibi 7,Sombra 6 - gibi 7,Sombra 7 - gibi 7,Sombra 8 - gibi 7,,,,,,,,,,,,,,,,,,,,,,,
Page 8,1,Marina,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 9,1,Mônica,Marina,Cebolinha,Cascão,Criança 1 - gibi 7,Criança 2 - gibi 7,Criança 3 - gibi 7,Sombra 9 - gibi 7,Sombra 10 - gibi 7,Sombra 11 - gibi 7,,,,,,,,,,,,,,,,,,,,
Page 10,1,Cascão,Cebolinha,Mônica,Marina,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 11,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,,,,,,,,,,,,,,,,,,,,,,
Page 12,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,Denise,Carminha Frufru,,,,,,,,,,,,,,,,,,,,
Page 13,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,Denise,Carminha Frufru,,,,,,,,,,,,,,,,,,,,
Page 14,1,Cascão,Cebolinha,Magali,Mônica,Nimbus,Xaveco,Humberto,Carminha Frufru,,,,,,,,,,,,,,,,,,,,,,
Page 15,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,Denise,Carminha Frufru,,,,,,,,,,,,,,,,,,,,
Page 16,1,Cebolinha,Marina,Magali,Mônica,Nimbus,Denise,Carminha Frufru,Criança 4 - gibi 7,Criança 5 - gibi 7,Criança 6 - gibi 7,Criança 7 - gibi 7,Criança 8 - gibi 7,Criança 9 - gibi 7,Sombra 12 - gibi 7,Sombra 13 - gibi 7,,,,,,,,,,,,,,,
Page 17,1,Mônica,Magali,Denise,Carminha Frufru,Criança 10 - gibi 7,Criança 11 - gibi 7,Criança 12 - gibi 7,Criança 13 - gibi 7,Criança 14 - gibi 7,Criança 15 - gibi 7,,,,,,,,,,,,,,,,,,,,
Page 18,1,Mônica,Magali,Denise,Carminha Frufru,Marina,Maurício de Souza,Criança 16 - gibi 7,Criança 17 - gibi 7,Criança 18 - gibi 7,Criança 19 - gibi 7,Criança 20 - gibi 7,Criança 21 - gibi 7,Criança 22 - gibi 7,Criança 23 - gibi 7,Criança 24 - gibi 7,Criança 25 - gibi 7,Criança 26 - gibi 7,Criança 27 - gibi 7,Criança 28 - gibi 7,Criança 29 - gibi 7,Criança 30 - gibi 7,Criança 31 - gibi 7,Sombra 14 - gibi 7,Sombra 15 - gibi 7,Sombra 16 - gibi 7,Sombra 17 - gibi 7,Sombra 18 - gibi 7,Sombra 19 - gibi 7,Sombra 20 - gibi 7,Sombra 21 - gibi 7
Page 19,1,Mônica,Magali,Denise,Carminha Frufru,Marina,Maurício de Souza,Alice,Criança 30 - gibi 7,Criança 29 - gibi 7,Criança 28 - gibi 7,Criança 27 - gibi 7,Criança 26 - gibi 7,Criança 25 - gibi 7,Criança 24 - gibi 7,Criança 23 - gibi 7,Criança 22 - gibi 7,Criança 21 - gibi 7,Criança 20 - gibi 7,Criança 19 - gibi 7,Sombra 20 - gibi 7,Sombra 19 - gibi 7,Sombra 18 - gibi 7,Sombra 17 - gibi 7,Sombra 16 - gibi 7,Sombra 15 - gibi 7,,,,,
Page 20,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 22,2,Magali,Cebolinha,Mônica,Sansão,Dona Lili,,,,,,,,,,,,,,,,,,,,,,,,,
Page 23,2,Mônica,Sansão,Cebolinha,Cascão,Dona Lurdinha,Zé Luís,,,,,,,,,,,,,,,,,,,,,,,,
Page 24,3,Cascão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 25,3,Cascão,Magali,Maurício de Souza,Alice,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 26,4,Pajé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 27,4,Pajé,Cacique,Índia,Índio,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 28,4,Pajé,Cacique,Índia,Índio,Papa-Capim,,,,,,,,,,,,,,,,,,,,,,,,,
Page 29,5,Cascão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,5,Mônica,Magali,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 31,5,Dudu,Xaveco,Professor Spada / Doutor Spam,Anjinho,Anjo 1,Anjo 2,Anjo 3,,,,,,,,,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,6,Equilibrista,Mônica,Magali,Figurante 1 - gibi 7,Sombra 22 - gibi 7,Sombra 23 - gibi 7,Sombra 24 - gibi 7,Palhaço 1,Palhaço 2,,,,,,,,,,,,,,,,,,,,,
Page 37,6,Homem Bala,Mônica,Magali,Sombra 23 - gibi 7,Sombra 22 - gibi 7,Sombra 21 - gibi 7,Sombra 25 - gibi 7,Sombra 26 - gibi 7,Sombra 27 - gibi 7,Sombra 28 - gibi 7,Palhaço 3,,,,,,,,,,,,,,,,,,,
Page 38,6,Mulher 1,Mulher 2,Mulher 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,6,Mulher 3,Mulher 4,Penadinho,Fantasma do Sultão,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,7,Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,7,Marina,Gato,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,7,Marina,Pitbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,7,Marina,Luca,Mônica,Denise,Magali,,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,8,Cebolinha,Magali,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,
