Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19
Page 1,Capa,Anjinho,Cascão,Cebolinha,Mônica,Magali,Sansão,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,
Page 3,,Anjinho,Cascão,Cebolinha,Mônica,Magali,Anjinho Substituto,,,,,,,,,,,,,
Page 4,1,Cascão,Cebolinha,Mônica,Magali,Dona Lili,Pai 1 - gibi 15,Criança 1 - gibi 15,Sombra 1 - gibi 15,Sombra 2 - gibi 15,Sombra 3 - gibi 15,Sombra 4 - gibi 15,,,,,,,,
Page 5,1,Cascão,Cebolinha,Mônica,Magali,,,,,,,,,,,,,,,
Page 6,1,Cascão,Cebolinha,Mônica,Magali,Mãe 1 - gibi 15,Mãe 2 - gibi 15,Atendente 1 - gibi 15,Criança 2 - gibi 15,Criança 3 - gibi 15,Criança 4 - gibi 15,Criança 5 - gibi 15,Sombra 5 - gibi 15,Sombra 6 - gibi 15,Sombra 7 - gibi 15,Sombra 8 - gibi 15,,,,
Page 7,1,Cascão,Cebolinha,Mônica,Magali,,,,,,,,,,,,,,,
Page 8,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 9,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 10,1,Mônica,Anjinho,,,,,,,,,,,,,,,,,
Page 11,1,Mônica,Anjinho,Pai 2 - gibi 15,Criança 6 - gibi 15,Criança 7 - gibi 15,Criança 8 - gibi 15,Criança 9 - gibi 15,,,,,,,,,,,,
Page 12,1,Mônica,Anjinho,,,,,,,,,,,,,,,,,
Page 13,1,Mônica,Anjinho,Criança 10 - gibi 15,Criança 11 - gibi 15,,,,,,,,,,,,,,,
Page 14,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 15,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 16,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 17,1,Anjinho,Anjo 1,Anjo 2,Anjo 3,Anjo 4,Anjo 5,Anjo 6,Anjo 7,Anjo 8,Anjo 9,Anjo 10,Anjo 11,Anjo 12,Anjo 13,Anjo 14,Anjo 15,Anjo 16,Anjo 17,Anjo 18
Page 18,2,Astronauta,Povo Alienígena Verde,,,,,,,,,,,,,,,,,
Page 19,2,Astronauta,Povo Alienígena Verde,,,,,,,,,,,,,,,,,
Page 20,,,,,,,,,,,,,,,,,,,,
Page 21,3,Piteco,Dino,,,,,,,,,,,,,,,,,
Page 22,3,Piteco,Dino,Mulher das Cavernas,,,,,,,,,,,,,,,,
Page 23,3,Piteco,Dino,Mulher das Cavernas,Thuga,Bolota,Vartolo,Homem das Cavernas,,,,,,,,,,,,
Page 24,3,Piteco,Thuga,Bolota,Vartolo,Homem das Cavernas,,,,,,,,,,,,,,
Page 25,3,Piteco,Dino,Dino 2,Bolota,Vartolo,Homem das Cavernas,,,,,,,,,,,,,
Page 26,3,Piteco,Dino,Dino 2,Dino 3,Bolota,Vartolo,Homem das Cavernas,Mulher das Cavernas,Velha das Cavernas,,,,,,,,,,
Page 27,3,Piteco,Dino,Bolota,Vartolo,Homem das Cavernas,Mulher das Cavernas,Velha das Cavernas,Mulher das Cavernas 2,Sombra 9 - gibi 15,Sombra 10 - gibi 15,,,,,,,,,
Page 28,3,Piteco,Thuga,Bolota,Vartolo,Homem das Cavernas,Velha das Cavernas,Mulher das Cavernas 2,,,,,,,,,,,,
Page 29,3,Piteco,Thuga,Bolota,Vartolo,Homem das Cavernas,Velha das Cavernas,Mulher das Cavernas 2,Mulher das Cavernas 3,Mulher das Cavernas 4,Mulher das Cavernas 5,,,,,,,,,
Page 30,3,Piteco,Thuga,Bolota,Homem das Cavernas,Mulher das Cavernas,Mulher das Cavernas 4,Mulher das Cavernas 5,Dino,,,,,,,,,,,
Page 31,3,Piteco,Thuga,Bolota,Vartolo,Mulher das Cavernas,Mulher das Cavernas 4,Mulher das Cavernas 5,Mulher das Cavernas 6,Dino,,,,,,,,,,
Page 32,3,Piteco,Vartolo,Bolota,Thuga,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,
Page 37,4,Mônica,Cascão,,,,,,,,,,,,,,,,,
Page 38,4,Mônica,Sansão,,,,,,,,,,,,,,,,,
Page 39,4,Mônica,,,,,,,,,,,,,,,,,,
Page 40,4,Mônica,,,,,,,,,,,,,,,,,,
Page 41,4,Mônica,Sansão,Dona Luísa,Seu Souza,,,,,,,,,,,,,,,
Page 42,5,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,
Page 43,6,Nico Demo,Criança 12 - gibi 15,,,,,,,,,,,,,,,,,
Page 44,6,Nico Demo,Criança 11 - gibi 15,Criança 13 - gibi 15,,,,,,,,,,,,,,,,
Page 45,6,Nico Demo,Criança 12 - gibi 15,Criança 14 - gibi 15,,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,
Page 47,7,Jimmy,Bidu,,,,,,,,,,,,,,,,,
Page 48,7,Jimmy,Bidu,,,,,,,,,,,,,,,,,
Page 49,7,Jimmy,Bidu,Mônica,Magali,,,,,,,,,,,,,,,
Page 50,7,Jimmy,Bidu,Bugu,,,,,,,,,,,,,,,,
Page 51,7,Jimmy,Bidu,Franjinha,,,,,,,,,,,,,,,,
Page 52,7,Jimmy,Bidu,,,,,,,,,,,,,,,,,
Page 53,7,Jimmy,Bidu,Maurício de Souza,,,,,,,,,,,,,,,,
Page 54,,,,,,,,,,,,,,,,,,,,
Page 55,8,Penadinho,Gato 1,Gato 2,Gato 3,Gato 4,Gato 5,,,,,,,,,,,,,
Page 56,9,Cebolinha,,,,,,,,,,,,,,,,,,
Page 57,9,Cebolinha,Mônica,Sansão,Bloguinho,,,,,,,,,,,,,,,
Page 58,10,Nimbus,,,,,,,,,,,,,,,,,,
Page 59,10,Nimbus,Cascão,,,,,,,,,,,,,,,,,
Page 60,10,Nimbus,Cascão,Coelho 1,Coelho 2,Coelho 3,Coelho 4,Coelho 5,Coelho 6,,,,,,,,,,,
Page 61,10,Nimbus,Cascão,,,,,,,,,,,,,,,,,
Page 62,10,Nimbus,Cascão,,,,,,,,,,,,,,,,,
Page 63,10,Nimbus,Cascão,Pássaro 1,Pássaro 2,Pássaro 3,Pássaro 4,Pássaro 5,Pássaro 6,Pássaro 7,Pássaro 8,,,,,,,,,
Page 64,10,Nimbus,Cascão,Palhaço 1,Palhaço 2,Palhaço 3,Palhaço 4,Leão,Homem Bala,Motoqueiro,Bailarina,Elefante,Atirador,,,,,,,
Page 65,10,Nimbus,Cascão,Dona Lurdinha,,,,,,,,,,,,,,,,
Page 66,11,Humberto,Eco,,,,,,,,,,,,,,,,,
