Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10
Page 1,Capa,Professor Spada / Doutor Spam,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,
Page 2,,,,,,,,,,,
Page 3,,Mônica,Magali,Cascão,Neto do Franjinha,,,,,,
Page 4,1,Magali,Franjinha,,,,,,,,
Page 5,1,Magali,Franjinha,Fran J. Inha,Monika Bond,Maga Rári,,,,,
Page 6,1,Magali,Franjinha,Monika Bond,Maga Rári,,,,,,
Page 7,1,Magali,Monika Bond,Robô carregando malas 1,Robô carregando malas 2,Abelha,Bidutronic,,,,
Page 8,1,Magali,Monika Bond,Abelha,Bidutronic,Professor Spada / Doutor Spam,Sansão,Robô amarrando cadarço,Figurante 1 - gibi 18,,
Page 9,1,Magali,Monika Bond,Abelha,Bidutronic,Atendente 1 - gibi 18,Atendente 2 - gibi 18,,,,
Page 10,1,Magali,Monika Bond,Abelha,Bidutronic,Atendente 3 - gibi 18,Atendente 4 - gibi 18,Criança 1 - gibi 18,Criança 2 - gibi 18,Mãe 1 - gibi 18,Pai 1 - gibi 18
Page 11,1,Magali,Monika Bond,Abelha,Bidutronic,Professor Spada / Doutor Spam,Sansão,,,,
Page 12,1,Magali,Monika Bond,Abelha,Bidutronic,Sansão,Franjinha,Fran J. Inha,,,
Page 13,1,Fran J. Inha,C-bola,,,,,,,,
Page 14,1,Magali,Monika Bond,Bidutronic,Fran J. Inha,C-bola,,,,,
Page 15,1,Magali,Monika Bond,Bidutronic,Fran J. Inha,C-bola,Cecê-boy,,,,
Page 16,1,Magali,Monika Bond,Bidutronic,Fran J. Inha,C-bola,Cecê-boy,Professor Spada / Doutor Spam,Sansão,,
Page 17,1,Magali,Monika Bond,Fran J. Inha,C-bola,Cecê-boy,Professor Spada / Doutor Spam,Sansão,,,
Page 18,1,Magali,Monika Bond,Bidutronic,Fran J. Inha,C-bola,Cecê-boy,,,,
Page 19,1,Magali,Monika Bond,C-bola,Cecê-boy,,,,,,
Page 20,1,Magali,Monika Bond,C-bola,Cecê-boy,Professor Spada / Doutor Spam,,,,,
Page 21,1,Magali,Monika Bond,C-bola,Cecê-boy,Professor Spada / Doutor Spam,,,,,
Page 22,1,Magali,Monika Bond,C-bola,Cecê-boy,Sansão,,,,,
Page 23,1,Monika Bond,Sansão,Congue-Congue,,,,,,,
Page 24,1,C-bola,Invasores do Espaço,,,,,,,,
Page 25,1,Cecê-boy,Sapinho,Figurante 2 - gibi 18,Figurante 3 - gibi 18,Figurante 4 - gibi 18,Figurante 5 - gibi 18,Figurante 6 - gibi 18,Figurante 7 - gibi 18,,
Page 26,1,Magali,Maga Rári,Fantasmildos,,,,,,,
Page 27,1,Monika Bond,Congue-Congue,Sansão,,,,,,,
Page 28,1,C-bola,Etê da Nava Mãe,Invasores do Espaço,,,,,,,
Page 29,1,Cecê-boy,Sapinho,Figurante 8 - gibi 18,Figurante 9 - gibi 18,,,,,,
Page 30,1,Magali,Maga Rári,Fantasmildos,,,,,,,
Page 31,1,Professor Spada / Doutor Spam,Sansão,Monika Bond,,,,,,,
Page 32,1,Professor Spada / Doutor Spam,Sansão,Monika Bond,C-bola,Invasores do Espaço,,,,,
Page 33,1,Cecê-boy,Maga Rári,Magali,Professor Spada / Doutor Spam,Fantasmildos,,,,,
Page 34,1,Magali,Professor Spada / Doutor Spam,Cecê-boy,C-bola,Maga Rári,Monika Bond,,,,
Page 35,1,Magali,Professor Spada / Doutor Spam,Cecê-boy,C-bola,Maga Rári,Monika Bond,,,,
Page 36,1,Magali,Professor Spada / Doutor Spam,Cecê-boy,C-bola,Maga Rári,Monika Bond,Bidutronic,Fran J. Inha,,
Page 37,1,Magali,Franjinha,Cecê-boy,C-bola,Maga Rári,Monika Bond,Bidutronic,Fran J. Inha,,
Page 38,1,Magali,Franjinha,Cascão,Cebolinha,Mônica,Bidu,,,,
Page 39,,,,,,,,,,,
Page 40,,,,,,,,,,,
Page 41,,,,,,,,,,,
Page 42,,,,,,,,,,,
Page 43,,,,,,,,,,,
Page 44,2,Chico Bento,Onça,,,,,,,,
Page 45,2,Chico Bento,Onça,Jacaré,,,,,,,
Page 46,3,Cebolinha,Anjinho,Anjo da Guarda do Anjinho,,,,,,,
Page 47,,,,,,,,,,,
Page 48,4,Mônica,Sansão,Cebolinha,Cascão,,,,,,
Page 49,4,Mônica,Sansão,Cebolinha,Cascão,Cipolino,Gastão,,,,
Page 50,4,Mônica,Cebolinha,Cascão,Cipolino,Gastão,,,,,
Page 51,4,Mônica,Cebolinha,Cascão,Cipolino,Gastão,,,,,
Page 52,4,Mônica,Cebolinha,Cascão,Cipolino,Gastão,Sansão,,,,
Page 53,5,Piteco,,,,,,,,,
Page 54,5,Piteco,Zé Caveirinha,Dinossauro Roxo,,,,,,,
Page 55,5,Piteco,Dinossauro Roxo,Dinossaurinho Roxo 1,Dinossaurinho Roxo 2,Dinossauro Verde,,,,,
Page 56,5,Piteco,Dinossauro Verde,Planta Carnívora,,,,,,,
Page 57,5,Piteco,Figurante 10 - gibi 18,Figurante 11 - gibi 18,Thuga,Dinossaurinho Roxo 1,Dinossaurinho Roxo 2,,,,
Page 58,6,Cebolinha,Magali,Mônica,Sansão,Cascão,Xaveco,,,,
Page 59,,,,,,,,,,,
Page 60,7,Cebolinha,,,,,,,,,
Page 61,7,Cebolinha,Cascão,,,,,,,,
Page 62,7,Cebolinha,Cascão,Mônica,Sansão,,,,,,
Page 63,7,Cebolinha,Mônica,Sansão,,,,,,,
Page 64,7,Cebolinha,Mônica,Sansão,,,,,,,
Page 65,7,Cebolinha,Alien Verde - filho,Alien Verde - mãe,,,,,,,
Page 66,8,Nimbus,Cascão,Mãe do Do Contra / Nimbus,,,,,,,
Page 67,,,,,,,,,,,
Page 68,,,,,,,,,,,
